entrance,der Eingang
exit,der Ausgang
attic,der Dachboden
balcony,der Balkon
garden,der Garten
basement,der Keller
move,der Umzug
cupboard,der Schrank
table,der Tisch
seat/stool/chair,der Stuhl
armchair,der Sessel
carpet,der Teppich
key,der Schlüssel
TV,der Fernseher
floor,der Stock
lift/elevator,der Aufzug
mirror,der Spiegel
vacuum cleaner,der Staubsauger
door,die Tür
toilet,die Toilette
bench,die Bank
lamp,die Lampe
toothbrush,die Zahnbürste
toothpaste,die Zahnpasta
cream,die Creme
soap,die Seife
stair,die Treppe
wall,die Wand
watch,die Uhr
magazine,die Zeitschrift
terrace,die Terrasse
dishwasher,die Spülmaschine
bathtub,die Badewanne
shower,die Dusche
room,das Zimmer
bedroom,das Schlafzimmer
living room,das Wohnzimmer
house,das Haus
roof/rooftop,das Dach
window,das Fenster
bath,das Bad
toilet paper,das Toilettenpapier
bed,das Bett
shelf,das Regal
sofa,das Sofa
picture,das Bild
shampoo,das Shampoo
towel,das Handtuch
radio,das Radio
telephone,das Telefon
pillow,das Kopfkissen
washbasin,das Waschbecken
furniture,die Möbel
